"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Pojke";NA;NA;5;5;4;4;2;3;4;4;1;4;4;5;0;3;NA;4;2;3;1;1;2;5;1
"Pojke";8;8;4;5;3;2;2;4;3;2;2;6;6;6;6;2;8;2;4;8;4;6;4;8;3
"Flicka";7;5;4;4;4;1;1;4;4;1;4;1;1;1;2;7;12;3;10;10;8;9;5;12;2
"Pojke";8;8;5;4;3;3;3;3;2;3;2;5;0;4;5;4;3;7;2;5;2;2;1;5;0
"Pojke";NA;NA;2;5;2;4;3;3;1;1;2;6;5;0;5;2;1;0;9;4;1;7;0;3;1
"Flicka";NA;NA;5;3;3;2;3;4;1;2;3;7;7;7;7;0;0;0;0;0;0;0;0;0;0
"Pojke";7;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;3;2;0;2;1
"Flicka";7;6;4;NA;4;2;2;5;5;5;2;6;6;7;4;3;5;1;4;3;3;3;1;3;1
"Flicka";7;6;NA;5;2;2;2;4;4;4;4;6;6;6;6;2;5;1;2;2;3;2;0;2;1
"Pojke";8;7;5;5;3;3;2;2;1;3;6;2;0;5;7;0;10;1;2;0;1;1;2;4;2
"Flicka";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;2;1;1;4;1;2;1
"Flicka";9;7,5;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;4;0;0;0;0;1;4;0
"Pojke";9;9;5;5;3;2;3;2;2;3;6;0;0;4;7;0;0;0;2;1;0;1;0;1;0
"Pojke";8;8;5;4;3;3;3;1;3;6;6;7;7;7;7;1;3;5;2;3;1;2;1;3;1
"Pojke";9;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;0;1;0;0;0;1;1
"Flicka";9;9;6;3;5;5;1;2;3;2;1;3;3;5;2;0;2;0;1;0;0;0;0;0;0
"Pojke";8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;2;0;0;0;0;0;1;1
"Flicka";7;7;4;4;3;2;2;3;3;4;4;5;5;5;5;0;0;0;0;0;0;1;0;1;0
"Pojke";7;7;4;1;3;2;2;3;1;1;3;4;0;0;6;2;0;0;2;3;0;5;1;6;1
"Pojke";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;0;0;0;0;0;0;0
"Pojke";7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;1;5;2;1;2;4;2
"Flicka";9;8;5;6;3;2;2;4;1;2;1;6;NA;7;NA;2;4;1;4;1;0;0;0;1;1
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;0;1;0;0;1;0;1;0
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;2;0;1;1;1;1;0
"Flicka";8;8;3;2;3;2;3;3;3;4;1;5;5;7;2;0;0;0;0;0;0;0;0;0;0
"Pojke";9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";7;7;2;3;3;NA;3;3;3;1;4;5;5;NA;6;1;0;0;1;0;0;1;0;1;0
"Pojke";7;8;2;2;2;2;2;3;3;3;2;5;5;4;4;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;2;2;3;2;3;2;3;3;2;3;3;7;7;4;9;5;7;0;3;4;1;3;0
"Flicka";8;7;3;2;5;2;2;3;4;4;2;3;4;7;3;0;0;0;0;0;0;0;1;0;0
"Flicka";8;8;3;2;3;2;NA;2;3;2;2;6;5;2;4;5;14;2;2;4;3;3;4;6;4
"Flicka";8;8;5;4;5;2;1;2;3;2;2;1;1;3;6;0;4;0;3;1;1;0;0;3;0
"Flicka";NA;NA;6;5;3;1;2;4;1;2;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;3;3;1;2;4;4;4;2;6;0;6;5;3;1;5;2;0;1;2;1;2;0
"Flicka";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;0;0;NA;0;2;0
