"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7";"dist";"imp";"uppr";"moto";"rikt";"skif";"efig";"efpl";"efutf";"efutv";"attention"
"Flicka";8;8;5;4;3;3;3;4;3;2;1;1;1;1;4;4;3;1;1;1;1;1;3;0;1;1;0;1;0;1;0;8
"Pojke";8;7;5;4;2;4;2;3;3;2;2;2;2;2;3;3;3;3;3;3;3;2;1;1;1;1;0;2;0;2;0;10
"Flicka";8;8;4;4;3;3;1;5;5;2;3;5;5;3;6;6;4;5;7;7;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;3;4;5;2;2;3;4;2;1;3;2;1;5;5;4;1;7;4;1;0;0;0;0;0;0;0;0;0;0;0
"Flicka";6;6;2;2;4;3;2;4;4;4;2;1;1;4;5;5;5;2;2;3;3;4;1;5;0;9;1;2;1;2;1;26
"Pojke";8;7;5;5;4;2;3;3;3;3;2;2;2;2;2;3;4;4;4;4;4;8;15;11;12;5;6;5;6;15;5;88
"Flicka";9;9;4;2;3;1;2;4;4;2;2;1;4;2;6;5;4;4;3;7;5;0;0;0;0;0;0;0;0;0;0;0
"Pojke";7;7;4;3;4;3;2;2;2;1;1;2;1;1;4;4;3;1;5;1;2;5;10;5;10;4;2;4;2;5;2;49
"Flicka";9;9;5;4;2;2;2;5;5;5;5;5;5;5;5;5;7;7;7;7;6;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;3;3;3;2;4;4;4;2;5;3;1;4;4;6;4;7;5;2;4;5;8;1;5;3;5;2;5;1;39
"Flicka";9;9;5;5;3;2;2;4;3;4;3;2;2;2;7;7;7;6;4;5;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";5;6;3;4;4;4;3;4;4;3;2;3;3;4;4;2;2;2;4;2;2;0;0;0;0;1;3;2;0;3;1;10
"Pojke";8,25;7,25;5;6;3;3;3;3;3;5;4;2;1;2;4;4;7;7;6;4;4;3;6;0;3;0;1;0;3;2;1;19
"Pojke";9;10;6;4;3;2;4;4;3;4;2;3;3;4;3;3;7;4;5;5;4;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;6;5;3;5;2;4;4;2;1;1;5;6;7;7;7;4;1;7;7;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;3;5;5;7;5;3;4;3;2;3;1;2;6;6;4;5;6;4;6;2;1;0;0;0;0;0;0;1;0;4
